corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g2-f-05	0001	#	#	#	#				
persian	g2-f-05	0001	Yek	one	ln_deti	ln_deti				
persian	g2-f-05	0001	āqāyi	man.INDF	np.h:a	np	h	a		
persian	g2-f-05	0001	bālāye	top.of	adp	adp				
persian	g2-f-05	0001	deraxt	tree	np:l	np		l		
persian	g2-f-05	0001	dar	in	other	other				
persian	g2-f-05	0001	vāqe	real	other	other				
persian	g2-f-05	0001	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-f-05	0001	ān	that	ln_dem	ln_dem				
persian	g2-f-05	0001	miveyi	fruit.INDF	np:p	np		p		
persian	g2-f-05	0001	#	#	#rc	#rc				
persian	g2-f-05	0001	ke	that	ke	ke				
persian	g2-f-05	0001	0	0	0.h:a	0	h	a		
persian	g2-f-05	0001	kāšte	plant.PST.PTCP	v:pred	v		pred		
persian	g2-f-05	0001	bud	AUX.PST.3SG	aux	aux				
persian	g2-f-05	0001	%	%	%	%				
persian	g2-f-05	0001	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-f-05	0001	bardāšt	harvest	other:lvc	other		lvc		
persian	g2-f-05	0001	mikard	do.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-f-05	0002	#	#	#	#				
persian	g2-f-05	0002	bad	then	other	other				
persian	g2-f-05	0002	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0002	āqāyi	man.INDF	np.h:s	np	h	s		
persian	g2-f-05	0002	#	#	#	#				
persian	g2-f-05	0002	0	0	0.1:s	0	1	s		
persian	g2-f-05	0002	fekr	thought	other:lvc	other		lvc		
persian	g2-f-05	0002	mikonam	do.PRS.IND.1SG	v:pred	v		pred		
persian	g2-f-05	0002	#	#	#rc	#rc				
persian	g2-f-05	0002	bā	with	adp	adp				
persian	g2-f-05	0002	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0002	boz	goat	np:obl	np		obl		
persian	g2-f-05	0002	bud	be.PST.3SG	cop	cop				
persian	g2-f-05	0002	%	%	%	%				
persian	g2-f-05	0002	āmad	come.PST.3SG	v:pred	v		pred		
persian	g2-f-05	0002	#	#	#	#				
persian	g2-f-05	0002	0	0	0.h:s	0	h	s		
persian	g2-f-05	0002	rad	passing	other:lvc	other		lvc		
persian	g2-f-05	0002	šod	become.PST.3SG	v:pred	v		pred		
persian	g2-f-05	0003	#	#	#	#				
persian	g2-f-05	0003	bad	then	other	other				
persian	g2-f-05	0003	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0003	pesari	boy.INDF	np.h:s	np	h	s		
persian	g2-f-05	0003	bā	with	adp	adp				
persian	g2-f-05	0003	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0003	dočarxe	bike	np:obl	np		obl		
persian	g2-f-05	0003	āmad	come.PST..3SG	v:pred	v		pred		
persian	g2-f-05	0003	#	#	#	#				
persian	g2-f-05	0003	aval	first	other	other				
persian	g2-f-05	0003	0	0	0.h:a	0	h	a		
persian	g2-f-05	0003	mixāst	want.PST.IND.3SG	aux	aux				
persian	g2-f-05	0003	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0003	mive	fruit	np:p	np		p		
persian	g2-f-05	0003	bardārad	pick.PRS.SBJV.3SG	v:pred	v		pred		
persian	g2-f-05	0004	#	#	#	#				
persian	g2-f-05	0004	amā	but	other	other				
persian	g2-f-05	0004	0	0	0.h:a	0	h	a		
persian	g2-f-05	0004	sabad	basket	np:p	np		p		
persian	g2-f-05	0004	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-f-05	0004	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-f-05	0004	kollan	completely	other	other				
persian	g2-f-05	0004	bardāšt	pick.PST.3SG	v:pred	v		pred		
persian	g2-f-05	0005	#	#	#	#				
persian	g2-f-05	0005	Tuye	in	adp	adp				
persian	g2-f-05	0005	rāh	way	np:l	np		l		
persian	g2-f-05	0005	0	0	0.h:s_cp	0	h	s_cp		
persian	g2-f-05	0005	ba	with	adp	adp				
persian	g2-f-05	0005	yek	one	ln_deti	ln_deti				
persian	g2-f-05	0005	dočarxesavār	rider	np.h:g	np	h	g		
persian	g2-f-05	0005	barxord	collision	other:lvc	other		lvc		
persian	g2-f-05	0005	mikonad	do.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-05	0005	#	#	#	#				
persian	g2-f-05	0005	tamāme	whole	ln_qu	ln_qu				
persian	g2-f-05	0005	mivehā	fruit.PL	np:s	np		s		
persian	g2-f-05	0005	mirizad	spill.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-05	0005	zamin	ground	rv	rv				
persian	g2-f-05	0006	#	#	#	#				
persian	g2-f-05	0006	bad	then	other	other				
persian	g2-f-05	0006	in	this	ln_dem	ln_dem				
persian	g2-f-05	0006	mivehāyi	fruit.PL.INDF	np:s	np		s		
persian	g2-f-05	0006	ke	that	ke	ke				
persian	g2-f-05	0006	rixte	spill.PST.PTCP	v:pred	v		pred		
persian	g2-f-05	0006	zamin	ground	rv	rv				
persian	g2-f-05	0006	#	#	#	#				
persian	g2-f-05	0006	se	three	ln_qu	ln_qu				
persian	g2-f-05	0006	tā	piece	ln_class	ln_class				
persian	g2-f-05	0006	pesar	boy	np.h:s	np	h	s		
persian	g2-f-05	0006	miāyand	come.PRS.IND.3PL	v:pred	v		pred		
persian	g2-f-05	0006	#	#	#	#				
persian	g2-f-05	0006	0	0	0.h:a	0	h	a		
persian	g2-f-05	0006	be	to	adp	adp				
persian	g2-f-05	0006	=heš	=PRO.3SG	=pro.h:p	=pro	h	p		
persian	g2-f-05	0006	komak	help	other:lvc	other		lvc		
persian	g2-f-05	0006	mikonand	do.PRS.IND.3PL	v:pred	v		pred		
persian	g2-f-05	0006	#	#	#	#				
persian	g2-f-05	0006	0	0	0.h:a	0	h	a		
persian	g2-f-05	0006	in	this	ln_dem	ln_dem				
persian	g2-f-05	0006	mivehā	fruit.PL	np:p	np		p		
persian	g2-f-05	0006	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-f-05	0006	jam	collected	other:lvc	other		lvc		
persian	g2-f-05	0006	mikonand	do.PRS.IND.3PL	v:pred	v		pred		
persian	g2-f-05	0007	#	#	#	#				
persian	g2-f-05	0007	0	0	0.h:a	0	h	a		
persian	g2-f-05	0007	in	this	ln_dem	ln_dem				
persian	g2-f-05	0007	mivehā	fruit.PL	np:p	np		p		
persian	g2-f-05	0007	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-f-05	0007	ke	that	ke	ke				
persian	g2-f-05	0007	jam	collected	other:lvc	other		lvc		
persian	g2-f-05	0007	mikonand	do.PRS.IND.3PL	v:pred	v		pred		
persian	g2-f-05	0007	#	#	#	#				
persian	g2-f-05	0007	kolāhe	hat=EZAFE	np:s	np		s		
persian	g2-f-05	0007	in	this	rn_dem	rn_dem				
persian	g2-f-05	0007	āqā	man	rn_np.h:poss	rn_np	h	poss		
persian	g2-f-05	0007	pesar	boy	rn_lex	rn_lex				
persian	g2-f-05	0007	ham	add	other	other				
persian	g2-f-05	0007	mioftad	fall.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-05	0008	#	#	#ac	#ac				
persian	g2-f-05	0008	moqei	when	other	other				
persian	g2-f-05	0008	ke	that	ke	ke				
persian	g2-f-05	0008	0	0	0.h:s	0	h	s		
persian	g2-f-05	0008	miravad	go.PRS.IND.3SG	v:pred	v		pred		
persian	g2-f-05	0008	#	#	#	#				
