corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g2-m-12	0001	#	#	#	#				
persian	g2-m-12	0001	Aval	first	other	other				
persian	g2-m-12	0001	sare	head.of	ln_lex	ln_lex				
persian	g2-m-12	0001	sobh	morning	np:s	np		s		
persian	g2-m-12	0001	bud	be.PST.3SG	cop	cop				
persian	g2-m-12	0001	#	#	#	#				
persian	g2-m-12	0001	bad	then	other	other				
persian	g2-m-12	0001	yek	one	ln_deti	ln_deti				
persian	g2-m-12	0001	āqāyi	man.INDF	np.h:a	np	h	a		
persian	g2-m-12	0001	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-m-12	0001	golābi	pear	np:p	np		p		
persian	g2-m-12	0001	mičid	pick.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-m-12	0002	#	#	#	#				
persian	g2-m-12	0002	bad	then	other	other				
persian	g2-m-12	0002	0	0	0.h:s	0	h	s		
persian	g2-m-12	0002	raft	go.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0002	#	#	#	#				
persian	g2-m-12	0002	0	0	0.h:s	0	h	s		
persian	g2-m-12	0002	bālāye	top.of	adp	adp				
persian	g2-m-12	0002	deraxt	tree	np:l	np		l		
persian	g2-m-12	0002	bud	be.PST.3SG	cop	cop				
persian	g2-m-12	0003	#	#	#	#				
persian	g2-m-12	0003	0	0	0.h:a	0	h	a		
persian	g2-m-12	0003	golābihā	pear.PL	np:p	np		p		
persian	g2-m-12	0003	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-m-12	0003	čid	pick.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0003	#	#	#	#				
persian	g2-m-12	0003	0	0	0.h:s	0	h	s		
persian	g2-m-12	0003	āmad	come.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0003	pāyin	down	rv	rv				
persian	g2-m-12	0004	#	#	#	#				
persian	g2-m-12	0004	bad	then	other	other				
persian	g2-m-12	0004	0	0	0.h:a	0	h	a		
persian	g2-m-12	0004	yeki	one	indef_other:p	indef_other		p		
persian	g2-m-12	0004	=šān	=PRO.3PL	=pro:obl	=pro		obl		
persian	g2-m-12	0004	=rā	=ACC	=rn_acc	=rn_acc				
persian	g2-m-12	0004	pāk	clean	other:lvc	other		lvc		
persian	g2-m-12	0004	kard	do.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0004	#	#	#	#				
persian	g2-m-12	0004	va	and	other	other				
persian	g2-m-12	0004	0	0	0.h:s	0	h	s		
persian	g2-m-12	0004	bāz	again	other	other				
persian	g2-m-12	0004	raft	go.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0004	bālā	up	rv	rv				
persian	g2-m-12	0005	#	#	#	#				
persian	g2-m-12	0005	bad	then	other	other				
persian	g2-m-12	0005	yek	one	ln_deti	ln_deti				
persian	g2-m-12	0005	āqāye	man	np.h:s	np	h	s		
persian	g2-m-12	0005	digar	other	rn_lex	rn_lex				
persian	g2-m-12	0005	bā	with	adp	adp				
persian	g2-m-12	0005	yek	one	ln_deti	ln_deti				
persian	g2-m-12	0005	bozi	goat.INDF	np:obl	np		obl		
persian	g2-m-12	0005	dast	hand	np:l	np		l		
persian	g2-m-12	0005	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-m-12	0005	bud	nc	nc	nc				
persian	g2-m-12	0005	rad	passing	other:lvc	other		lvc		
persian	g2-m-12	0005	šod	become.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0005	az	from	adp	adp				
persian	g2-m-12	0005	piše	side	adp	adp				
persian	g2-m-12	0005	golābihā	pear.PL	np:l	np		l		
persian	g2-m-12	0006	#	#	#	#				
persian	g2-m-12	0006	bad	then	other	other				
persian	g2-m-12	0006	in	this	ln_dem	ln_dem				
persian	g2-m-12	0006	āqāyi	man.INDF	np.h:s	np	h	s		
persian	g2-m-12	0006	ke	that	ke	ke				
persian	g2-m-12	0006	rad	passing	other:lvc	other		lvc		
persian	g2-m-12	0006	šod	become.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0006	#	#	#	#				
persian	g2-m-12	0006	yek	one	ln_deti	ln_deti				
persian	g2-m-12	0006	pesarbačeyi	little.boy.INDF	np.h:s	np	h	s		
persian	g2-m-12	0006	bā	with	adp	adp				
persian	g2-m-12	0006	dočarxe	bike	np:obl	np		obl		
persian	g2-m-12	0006	āmad	come.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0006	piše	side	adp	adp				
persian	g2-m-12	0006	golābihā	pear.PL	np:l	np		l		
persian	g2-m-12	0006	#	#	#	#				
persian	g2-m-12	0006	bad	then	other	other				
persian	g2-m-12	0006	0	0	0.h:a	0	h	a		
persian	g2-m-12	0006	did	see.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0006	#	#	#	#				
persian	g2-m-12	0006	ba-inke	although	other	other				
persian	g2-m-12	0006	0	0	0.h:a	0	h	a		
persian	g2-m-12	0006	did	see.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0007	#	#	#	#				
persian	g2-m-12	0007	az	from	adp	adp				
persian	g2-m-12	0007	piše	side	adp	adp				
persian	g2-m-12	0007	golābihā	pear.PL	np:l	np		l		
persian	g2-m-12	0007	ke	that	ke	ke				
persian	g2-m-12	0007	0	0	0.h:s	0	h	s		
persian	g2-m-12	0007	dāšt	AUX.PST.3SG	aux	aux				
persian	g2-m-12	0007	rad	passing	other:lvc	other		lvc		
persian	g2-m-12	0007	mišod	become.PST.IPFV.3SG	v:pred	v		pred		
persian	g2-m-12	0007	#	#	#	#				
persian	g2-m-12	0007	0	0	0.h:s	0	h	s		
persian	g2-m-12	0007	istād	stop.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0008	#	#	#	#				
persian	g2-m-12	0008	0	0	0.h:a	0	h	a		
persian	g2-m-12	0008	negāhi	look.INDF	other:lvc	other		lvc		
persian	g2-m-12	0008	be	to	adp	adp				
persian	g2-m-12	0008	golābihā	pear.PL	np:p	np		p		
persian	g2-m-12	0008	kard	do.PST.IND.3SG	v:pred	v		pred		
persian	g2-m-12	0008	#	#	#	#				
persian	g2-m-12	0008	va	and	other	other				
persian	g2-m-12	0008	bā-inke	although	other	other				
persian	g2-m-12	0008	0	0	0.h:a	0	h	a		
persian	g2-m-12	0008	did	see.PST.3SG	v:pred	v		pred		
persian	g2-m-12	0008	#	#	#cc:p	#cc		p		
persian	g2-m-12	0008	sāheb	owner	np.h:s	np	h	s		
persian	g2-m-12	0008	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g2-m-12	0008	bālā	top	other:l	other		l		
persian	g2-m-12	0008	ast	be.PRS.3SG	cop	cop				
persian	g2-m-12	0009	#	#	#	#				
persian	g2-m-12	0009	bad	then	other	other				
persian	g2-m-12	0009	0	0	0.h:a	0	h	a		
persian	g2-m-12	0009	yeki	one	indef_other:p	indef_other		p		
persian	g2-m-12	0009	az	of	rn_adp	rn_adp				
persian	g2-m-12	0009	in	this	rn_dem	rn_dem				
persian	g2-m-12	0009	sabadhāye	basket.PL=EZAFE	rn_np:poss	rn_np		poss		
persian	g2-m-12	0009	golābi	pear	rn_lex	rn_lex				
persian	g2-m-12	0009	=rā	=ACC	=rn_acc	=rn_acc				
