corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g1-f-11	0001	#	#	#	#				
persian	g1-f-11	0001	Be	to	adp	adp				
persian	g1-f-11	0001	nāme	name=EZAFE	other	other				
persian	g1-f-11	0001	xodā,	God	other	other				
persian	g1-f-11	0001	kollan	completely	other	other				
persian	g1-f-11	0001	film	film	np:a	np		a		
persian	g1-f-11	0001	yek	one	ln_deti	ln_deti				
persian	g1-f-11	0001	kuhestāni	highland	np:p	np		p		
persian	g1-f-11	0001	=rā	=ACC	=rn_acc	=rn_acc				
persian	g1-f-11	0001	nešān	show	other:lvc	other		lvc		
persian	g1-f-11	0001	midād	give.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-11	0001	#	#	#	#				
persian	g1-f-11	0001	yek	one	ln_deti	ln_deti				
persian	g1-f-11	0001	jāye	place=EZAFE	np:s	np		s		
persian	g1-f-11	0001	kuhestāni	mountainous	rn_lex	rn_lex				
persian	g1-f-11	0001	bud	be.PST.3SG	cop	cop				
persian	g1-f-11	0001	#	#	#rc	#rc				
persian	g1-f-11	0001	ke	that	ke	ke				
persian	g1-f-11	0001	deraxt	tree	np:p	np		p		
persian	g1-f-11	0001	dāšt	have.PST.3SG	v:pred	v		pred		
persian	g1-f-11	0001	#	#	#	#				
persian	g1-f-11	0001	va	and	other	other				
persian	g1-f-11	0001	0	0	0:s	0		s		
persian	g1-f-11	0001	masalan	for.example	other	other				
persian	g1-f-11	0001	mazrae	farm	np:pred	np		pred		
persian	g1-f-11	0001	bud	be.PST.3SG	cop	cop				
persian	g1-f-11	0002	#	#	#	#				
persian	g1-f-11	0002	0	0	0:a	0		a		
persian	g1-f-11	0002	yek	one	ln_deti	ln_deti				
persian	g1-f-11	0002	āqāyi	man.INDF	np.h:p	np	h	p		
persian	g1-f-11	0002	=rā	=ACC	=rn_acc	=rn_acc				
persian	g1-f-11	0002	nešān	show	other:lvc	other		lvc		
persian	g1-f-11	0002	midād	give.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-11	0002	#	#	#rc	#rc				
persian	g1-f-11	0002	ke	that	ke	ke				
persian	g1-f-11	0002	dāšt	nc	nc	nc				
persian	g1-f-11	0002	az	nc	nc	nc				
persian	g1-f-11	0002	deraxte	nc	nc	nc				
persian	g1-f-11	0002	golābi	nc	nc	nc				
persian	g1-f-11	0002	bā	with	adp	adp				
persian	g1-f-11	0002	nardebān	ladder	np:obl	np		obl		
persian	g1-f-11	0002	rafte	go.PST.PTCP	v:pred	v		pred		
persian	g1-f-11	0002	bud	AUX.PST.3SG	aux	aux				
persian	g1-f-11	0002	bālā	up	rv	rv				
persian	g1-f-11	0002	#	#	#	#				
persian	g1-f-11	0002	0	0	0.h:a	0	h	a		
persian	g1-f-11	0002	dāšt	AUX.PST.3SG	aux	aux				
persian	g1-f-11	0002	golābihā	pear.PL	np:p	np		p		
persian	g1-f-11	0002	=rā	=ACC	=rn_acc	=rn_acc				
persian	g1-f-11	0002	mičid	pick.PRS.IPFV.3SG	v:pred	v		pred		
persian	g1-f-11	0003	#	#	#	#				
persian	g1-f-11	0003	baad	then	other	other				
persian	g1-f-11	0003	0	0	0.h:s	0	h	s		
persian	g1-f-11	0003	miyāmad	come.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-11	0003	pāyin	down	rv	rv				
persian	g1-f-11	0003	#	#	#	#				
persian	g1-f-11	0003	0	0	0.h:a	0	h	a		
persian	g1-f-11	0003	golābihā	pear.PL	np:p	np		p		
persian	g1-f-11	0003	=rā	=ACC	=rn_acc	=rn_acc				
persian	g1-f-11	0003	migozāšt	put.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-11	0003	tuye	inside	adp	adp				
persian	g1-f-11	0003	sabadhā	basket.PL	np:l	np		l		
persian	g1-f-11	0004	#	#	#	#				
persian	g1-f-11	0004	0	0	0.h:a	0	h	a		
persian	g1-f-11	0004	0	0	0:p	0		p		
persian	g1-f-11	0004	jābejā	displace	other:lvc	other		lvc		
persian	g1-f-11	0004	mikard	do.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-11	0004	#	#	#	#				
persian	g1-f-11	0004	0	0	0.h:a	0	h	a		
persian	g1-f-11	0004	do	two	ln_qu	ln_qu				
persian	g1-f-11	0004	tā	piece	ln_class	ln_class				
persian	g1-f-11	0004	sabad	basket	np:p	np		p		
persian	g1-f-11	0004	golābi	pear	rn_lex	rn_lex				
persian	g1-f-11	0004	čide	pick.PST.PTCP	v:pred	v		pred		
persian	g1-f-11	0004	bud	AUX.PST.3SG	aux	aux				
persian	g1-f-11	0005	#	#	#	#				
persian	g1-f-11	0005	sabadhā	basket.PL	np:s	np		s		
persian	g1-f-11	0005	pāyine	down	other:pred	other		pred		
persian	g1-f-11	0005	deraxt	tree	rn_np:poss	rn_np		poss		
persian	g1-f-11	0005	bud	be.PST.3SG	cop	cop				
persian	g1-f-11	0005	#	#	#	#				
persian	g1-f-11	0005	yek	one	ln_deti	ln_deti				
persian	g1-f-11	0005	pesarbačeyi	little.boy.INDF	np.h:s	np	h	s		
persian	g1-f-11	0005	#	#	#rc	#rc				
persian	g1-f-11	0005	ke	that	ke	ke				
persian	g1-f-11	0005	dāšt	AUX.PST.3SG	aux	aux				
persian	g1-f-11	0005	bā	with	adp	adp				
persian	g1-f-11	0005	dočarxe	bike	np:obl	np		obl		
persian	g1-f-11	0005	az	from	adp	adp				
persian	g1-f-11	0005	ānjā	there	other:l	other		l		
persian	g1-f-11	0005	rad	passing	other:lvc	other		lvc		
persian	g1-f-11	0005	mišod	become.PST.IPFV.3SG	v:pred	v		pred		
persian	g1-f-11	0006	%	%	%	%				
persian	g1-f-11	0006	pesarbačeye	little.boy=EZAFE	np.h:pred	np	h	pred		
persian	g1-f-11	0006	šeytāni	naughty	rn_lex	rn_lex				
persian	g1-f-11	0006	bud	be.PST.3SG	cop	cop				
persian	g1-f-11	0007	#	#	#	#				
persian	g1-f-11	0007	0	0	0.h:s	0	h	s		
persian	g1-f-11	0007	dāšt	AUX.PST.3SG	aux	aux				
persian	g1-f-11	0007	rad	passing	other:lvc	other		lvc		
persian	g1-f-11	0007	mišod	become.PST.IPFV.3SG	v:pred	v		pred		
persian	g1-f-11	0007	#	#	#	#				
persian	g1-f-11	0007	0	0	0.h:a	0	h	a		
persian	g1-f-11	0007	did	see.PST.3SG	v:pred	v		pred		
persian	g1-f-11	0007	#	#	#cc.neg:p	#cc.neg		p		
persian	g1-f-11	0007	ke	that	ke	ke				
persian	g1-f-11	0007	in	this	ln_dem	ln_dem				
persian	g1-f-11	0007	āqā	man	np.h:ncs	np	h	ncs		
persian	g1-f-11	0007	havās	attention	other:lvc	other		lvc		
persian	g1-f-11	0007	=aš	=POSS.3SG	=rn_pro.h:poss	=rn_pro	h	poss		
persian	g1-f-11	0007	nist	NEG.PRS.3SG	cop	cop				
persian	g1-f-11	0007	#	#	#	#				
persian	g1-f-11	0007	0	0	0.h:a	0	h	a		
persian	g1-f-11	0007	miāyad	come.PRS.IND.3SG	aux	aux				
persian	g1-f-11	0007	yek	one	ln_deti	ln_deti				
persian	g1-f-11	0007	sabad	basket=EZAFE	np:p	np		p		
persian	g1-f-11	0007	golābie	pear=EZAFE	rn_lex	rn_lex				
persian	g1-f-11	0007	in	this	rn_dem	rn_dem				
persian	g1-f-11	0007	āqā	man	rn_np.h:poss	rn_np	h	poss		
