corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
persian	g1-f-10	0001	#	#	#	#				
persian	g1-f-10	0001	Yek	one	other	other				
persian	g1-f-10	0001	ruz	day	other	other				
persian	g1-f-10	0001	sobh,	morning	other	other				
persian	g1-f-10	0001	sobhe	morning=EZAFE	other	other				
persian	g1-f-10	0001	zud,	early	other	other				
persian	g1-f-10	0001	vaqte	when	other	other				
persian	g1-f-10	0001	xorus	rooster	other	other				
persian	g1-f-10	0001	xān	singing	other	other				
persian	g1-f-10	0001	moqei	when	other	other				
persian	g1-f-10	0001	ke	that	ke	ke				
persian	g1-f-10	0001	sedāye	sound=EZAFE	np:s	np		s		
persian	g1-f-10	0001	xorus	rooster	rn_np:poss	rn_np		poss		
persian	g1-f-10	0001	miyāmad	come.PST.IND.3SG	v:pred	v		pred		
persian	g1-f-10	0002	#	#	#	#				
persian	g1-f-10	0002	marde	man=EZAFE	np.h:s	np	h	s		
persian	g1-f-10	0002	bāqbān	gardner	rn_lex	rn_lex				
persian	g1-f-10	0002	az	from	adp	adp				
persian	g1-f-10	0002	deraxt	tree	np:l	np		l		
persian	g1-f-10	0002	bālā	up	lv	lv				
persian	g1-f-10	0002	raft	go.PST.3SG	v:pred	v		pred		
persian	g1-f-10	0002	#	#	#cc	#cc				
persian	g1-f-10	0002	ke	that	ke	ke				
persian	g1-f-10	0002	0	0	0.h:a	0	h	a		
persian	g1-f-10	0002	golābihā	pear.PL	np:p	np		p		
persian	g1-f-10	0002	=rā	=ACC	=rn_acc	=rn_acc				
persian	g1-f-10	0002	bečinad	pick.PRS.SBJV.3SG	v:pred	v		pred		
persian	g1-f-10	0003	#	#	#	#				
persian	g1-f-10	0003	0	0	0.h:a	0	h	a		
persian	g1-f-10	0003	yek	one	ln_qu	ln_qu				
persian	g1-f-10	0003	seri	row	ln_class	ln_class				
persian	g1-f-10	0003	golābi	pear	np:p	np		p		
persian	g1-f-10	0003	čid	pick.PST.3SG	v:pred	v		pred		
persian	g1-f-10	0003	#	#	#	#				
persian	g1-f-10	0003	0	0	0.h:a	0	h	a		
persian	g1-f-10	0003	āvard	bring.PST.3SG	v:pred	v		pred		
persian	g1-f-10	0003	pāyin	down	rv	rv				
persian	g1-f-10	0003	0	0	0:p	0		p		
persian	g1-f-10	0004	#	#	#	#				
persian	g1-f-10	0004	0	0	0.h:a	0	h	a		
persian	g1-f-10	0004	gozāšt	put.PST.3SG	v:pred	v		pred		
persian	g1-f-10	0004	rixt	pour.PST.3SG	v:pred	v		pred		
persian	g1-f-10	0004	0	0	0:p	0		p		
persian	g1-f-10	0004	tuye	in	adp	adp				
persian	g1-f-10	0004	sabad	basket	np:g	np		g		
persian	g1-f-10	0004	#	#	#	#				
persian	g1-f-10	0004	0	0	0.h:a	0	h	a		
persian	g1-f-10	0004	čand	a.few	ln_qu	ln_qu				
